Var1,Var2
-0.05170399431,8.54263290483992e-06
-0.0516522385599399,8.55975225733108e-06
-0.0516004828098799,8.5769059167129e-06
-0.0515487270598198,8.59409395137511e-06
-0.0514969713097598,8.61131643048463e-06
-0.0514452155596997,8.62857342309731e-06
-0.0513934598096396,8.64586499804698e-06
-0.0513417040595796,8.66319122483361e-06
-0.0512899483095195,8.68055217306818e-06
-0.0512381925594595,8.6979479120286e-06
-0.0511864368093994,8.71537851165893e-06
-0.0511346810593393,8.73284404168118e-06
-0.0510829253092793,8.75034457203938e-06
-0.0510311695592192,8.76788017312169e-06
-0.0509794138091592,8.7854509150942e-06
-0.0509276580590991,8.80305686834504e-06
-0.050875902309039,8.82069810315134e-06
-0.050824146558979,8.83837469078941e-06
-0.0507723908089189,8.85608670186944e-06
-0.0507206350588589,8.87383420700161e-06
-0.0506688793087988,8.89161727790633e-06
-0.0506171235587387,8.90943598563787e-06
-0.0505653678086787,8.92729040125051e-06
-0.0505136120586186,8.94518059679772e-06
-0.0504618563085586,8.96310664377786e-06
-0.0504101005584985,8.98106861391135e-06
-0.0503583448084384,8.99906657947369e-06
-0.0503065890583784,9.01710061229632e-06
-0.0502548333083183,9.03517078498783e-06
-0.0502030775582583,9.05327716982374e-06
-0.0501513218081982,9.07141983919058e-06
-0.0500995660581381,9.08959886591898e-06
-0.0500478103080781,9.10781432283958e-06
-0.049996054558018,9.12606628311607e-06
-0.049944298807958,9.14435481980114e-06
-0.0498925430578979,9.16268000605847e-06
-0.0498407873078378,9.18104191538482e-06
-0.0497890315577778,9.19944062172107e-06
-0.0497372758077177,9.21787619834191e-06
-0.0496855200576577,9.23634871929924e-06
-0.0496337643075976,9.25485825875594e-06
-0.0495820085575375,9.27340489054185e-06
-0.0495302528074775,9.29198868959702e-06
-0.0494784970574174,9.31060972964026e-06
-0.0494267413073574,9.3292680859447e-06
-0.0493749855572973,9.34796383300629e-06
-0.0493232298072372,9.36669704576509e-06
-0.0492714740571772,9.38546779905014e-06
-0.0492197183071171,9.40427616868966e-06
-0.0491679625570571,9.42312222962371e-06
-0.049116206806997,9.44200605756951e-06
-0.0490644510569369,9.46092772813323e-06
-0.0490126953068769,9.47988731703209e-06
-0.0489609395568168,9.49888490031636e-06
-0.0489091838067568,9.51792055425837e-06
-0.0488574280566967,9.53699435501942e-06
-0.0488056723066366,9.55610637909388e-06
-0.0487539165565766,9.57525670308712e-06
-0.0487021608065165,9.59444540382659e-06
-0.0486504050564565,9.6136725580287e-06
-0.0485986493063964,9.63293824285394e-06
-0.0485468935563363,9.65224253557384e-06
-0.0484951378062763,9.6715855133489e-06
-0.0484433820562162,9.69096725400576e-06
-0.0483916263061562,9.71038783492695e-06
-0.0483398705560961,9.72984733416116e-06
-0.048288114806036,9.74934582975706e-06
-0.048236359055976,9.76888339943027e-06
-0.0481846033059159,9.78846012178458e-06
-0.0481328475558559,9.8080760755348e-06
-0.0480810918057958,9.82773133884063e-06
-0.0480293360557357,9.84742599074995e-06
-0.0479775803056757,9.86716010997757e-06
-0.0479258245556156,9.88693377568239e-06
-0.0478740688055556,9.90674706735639e-06
-0.0478223130554955,9.92660006426949e-06
-0.0477705573054354,9.94649284580262e-06
-0.0477188015553754,9.96642549189186e-06
-0.0476670458053153,9.98639808247326e-06
-0.0476152900552553,1.00064106973718e-05
-0.0475635343051952,1.00264634167457e-05
-0.0475117785551351,1.00465563211971e-05
-0.0474600228050751,1.00666894912171e-05
-0.047408267055015,1.0086863007408e-05
-0.047356511304955,1.0107076950705e-05
-0.0473047555548949,1.01273314020434e-05
-0.0472529998048348,1.01476264424694e-05
-0.0472012440547748,1.01679621536954e-05
-0.0471494883047147,1.01883386168788e-05
-0.0470977325546547,1.02087559139541e-05
-0.0470459768045946,1.02292141266336e-05
-0.0469942210545345,1.02497133367407e-05
-0.0469424653044745,1.02702536266541e-05
-0.0468907095544144,1.02908350785302e-05
-0.0468389538043544,1.03114577748586e-05
-0.0467871980542943,1.0332121798462e-05
-0.0467354423042342,1.03528272320519e-05
-0.0466836865541742,1.0373574158784e-05
-0.0466319308041141,1.03943626613701e-05
-0.0465801750540541,1.04151928236318e-05
-0.046528419303994,1.04360647287249e-05
-0.0464766635539339,1.04569784603603e-05
-0.0464249078038739,1.04779341024708e-05
-0.0463731520538138,1.04989317388782e-05
-0.0463213963037538,1.05199714540705e-05
-0.0462696405536937,1.05410533318695e-05
-0.0462178848036336,1.05621774570963e-05
-0.0461661290535736,1.05833439141279e-05
-0.0461143733035135,1.06045527882292e-05
-0.0460626175534535,1.06258041642215e-05
-0.0460108618033934,1.06470981270368e-05
-0.0459591060533333,1.06684347622732e-05
-0.0459073503032733,1.06898141553069e-05
-0.0458555945532132,1.07112363920692e-05
-0.0458038388031532,1.07327015579362e-05
-0.0457520830530931,1.07542097395052e-05
-0.045700327303033,1.07757610225967e-05
-0.045648571552973,1.07973554935858e-05
-0.0455968158029129,1.08189932392921e-05
-0.0455450600528529,1.08406743459799e-05
-0.0454933043027928,1.08623989012457e-05
-0.0454415485527327,1.0884166991465e-05
-0.0453897928026727,1.09059787042343e-05
-0.0453380370526126,1.09278341267061e-05
-0.0452862813025526,1.094973334681e-05
-0.0452345255524925,1.09716764520318e-05
-0.0451827698024324,1.0993663530634e-05
-0.0451310140523724,1.10156946705464e-05
-0.0450792583023123,1.10377699596986e-05
-0.0450275025522523,1.10598894872416e-05
-0.0449757468021922,1.1082053341438e-05
-0.0449239910521321,1.11042616111057e-05
-0.0448722353020721,1.11265143851735e-05
-0.044820479552012,1.11488117532366e-05
-0.044768723801952,1.11711538043346e-05
-0.0447169680518919,1.11935406280628e-05
-0.0446652123018318,1.1215972314127e-05
-0.0446134565517718,1.12384489524553e-05
-0.0445617008017117,1.12609706329758e-05
-0.0445099450516517,1.12835374462827e-05
-0.0444581893015916,1.13061494826372e-05
-0.0444064335515315,1.13288068324113e-05
-0.0443546778014715,1.13515095869765e-05
-0.0443029220514114,1.13742578367049e-05
-0.0442511663013514,1.13970516730788e-05
-0.0441994105512913,1.14198911875807e-05
-0.0441476548012312,1.14427764716929e-05
-0.0440958990511712,1.14657076168978e-05
-0.0440441433011111,1.14886847150109e-05
-0.0439923875510511,1.15117078586247e-05
-0.043940631800991,1.15347771397767e-05
-0.0438888760509309,1.15578926505044e-05
-0.0438371203008709,1.15810544841777e-05
-0.0437853645508108,1.16042627331669e-05
-0.0437336088007508,1.16275174903979e-05
-0.0436818530506907,1.16508188494624e-05
-0.0436300973006306,1.16741669035081e-05
-0.0435783415505706,1.16975617459047e-05
-0.0435265858005105,1.17210034707993e-05
-0.0434748300504504,1.17444921722276e-05
-0.0434230743003904,1.17680279436705e-05
-0.0433713185503303,1.1791610880052e-05
-0.0433195628002703,1.181524107563e-05
-0.0432678070502102,1.18389186252177e-05
-0.0432160513001502,1.1862643623739e-05
-0.0431642955500901,1.18864161662291e-05
-0.04311253980003,1.19102363478341e-05
-0.04306078404997,1.19341042641441e-05
-0.0430090282999099,1.19580200107494e-05
-0.0429572725498499,1.19819836834623e-05
-0.0429055167997898,1.20059953784279e-05
-0.0428537610497297,1.20300551920138e-05
-0.0428020052996697,1.20541632202542e-05
-0.0427502495496096,1.20783195602936e-05
-0.0426984937995495,1.21025243084993e-05
-0.0426467380494895,1.2126777562016e-05
-0.0425949822994294,1.2151079417988e-05
-0.0425432265493694,1.2175429973893e-05
-0.0424914707993093,1.21998293274306e-05
-0.0424397150492492,1.22242775760784e-05
-0.0423879592991892,1.22487748180911e-05
-0.0423362035491291,1.22733211515014e-05
-0.0422844477990691,1.22979166747861e-05
-0.042232692049009,1.23225614863109e-05
-0.042180936298949,1.23472556853299e-05
-0.0421291805488889,1.23719993703197e-05
-0.0420774247988288,1.23967926404234e-05
-0.0420256690487688,1.24216355953388e-05
-0.0419739132987087,1.24465283345421e-05
-0.0419221575486486,1.24714709577312e-05
-0.0418704017985886,1.24964635648261e-05
-0.0418186460485285,1.25215062558581e-05
-0.0417668902984685,1.25465991317464e-05
-0.0417151345484084,1.25717422923e-05
-0.0416633787983483,1.25969358388822e-05
-0.0416116230482883,1.26221798721904e-05
-0.0415598672982282,1.26474744935878e-05
-0.0415081115481682,1.26728198039938e-05
-0.0414563557981081,1.26982159057709e-05
-0.0414046000480481,1.27236628997274e-05
-0.041352844297988,1.27491608886698e-05
-0.0413010885479279,1.27747099741837e-05
-0.0412493327978679,1.28003102592977e-05
-0.0411975770478078,1.28259618460413e-05
-0.0411458212977477,1.28516648374433e-05
-0.0410940655476877,1.28774193366432e-05
-0.0410423097976276,1.29032254464478e-05
-0.0409905540475676,1.2929083270663e-05
-0.0409387982975075,1.29549929130945e-05
-0.0408870425474474,1.29809544769932e-05
-0.0408352867973874,1.300696806672e-05
-0.0407835310473273,1.30330337865248e-05
-0.0407317752972673,1.30591517407685e-05
-0.0406800195472072,1.30853220343674e-05
-0.0406282637971472,1.31115447722374e-05
-0.0405765080470871,1.31378200589616e-05
-0.040524752297027,1.31641480002331e-05
-0.040472996546967,1.31905287015233e-05
-0.0404212407969069,1.32169622687472e-05
-0.0403694850468468,1.32434488073763e-05
-0.0403177292967868,1.32699884238807e-05
-0.0402659735467267,1.32965812245089e-05
-0.0402142177966667,1.33232273159534e-05
-0.0401624620466066,1.33499268050175e-05
-0.0401107062965465,1.33766797985047e-05
-0.0400589505464865,1.34034864036625e-05
-0.0400071947964264,1.34303467282937e-05
-0.0399554390463664,1.34572608795347e-05
-0.0399036832963063,1.34842289655213e-05
-0.0398519275462463,1.35112510941671e-05
-0.0398001717961862,1.35383273741629e-05
-0.0397484160461261,1.35654579136446e-05
-0.0396966602960661,1.35926428215249e-05
-0.039644904546006,1.36198822063838e-05
-0.0395931487959459,1.36471761780221e-05
-0.0395413930458859,1.36745248452419e-05
-0.0394896372958258,1.37019283181772e-05
-0.0394378815457658,1.37293867060739e-05
-0.0393861257957057,1.37569001193993e-05
-0.0393343700456456,1.37844686682875e-05
-0.0392826142955856,1.38120924633167e-05
-0.0392308585455255,1.38397716149541e-05
-0.0391791027954655,1.38675062342219e-05
-0.0391273470454054,1.38952964323646e-05
-0.0390755912953453,1.39231423209596e-05
-0.0390238355452853,1.39510440111401e-05
-0.0389720797952252,1.39790016149277e-05
-0.0389203240451652,1.40070152443439e-05
-0.0388685682951051,1.40350850119653e-05
-0.038816812545045,1.40632110299244e-05
-0.038765056794985,1.40913934109088e-05
-0.0387133010449249,1.41196322681614e-05
-0.0386615452948649,1.41479277145917e-05
-0.0386097895448048,1.41762798636647e-05
-0.0385580337947447,1.4204688829289e-05
-0.0385062780446847,1.42331547247077e-05
-0.0384545222946246,1.42616776647175e-05
-0.0384027665445646,1.42902577628945e-05
-0.0383510107945045,1.43188951345907e-05
-0.0382992550444444,1.43475898938261e-05
-0.0382474992943844,1.43763421560639e-05
-0.0381957435443243,1.44051520363231e-05
-0.0381439877942643,1.4434019650067e-05
-0.0380922320442042,1.44629451130918e-05
-0.0380404762941441,1.44919285413048e-05
-0.0379887205440841,1.45209700509463e-05
-0.037936964794024,1.45500697580347e-05
-0.037885209043964,1.45792277798096e-05
-0.0378334532939039,1.46084442325112e-05
-0.0377816975438438,1.46377192336011e-05
-0.0377299417937838,1.4667052900097e-05
-0.0376781860437237,1.46964453499043e-05
-0.0376264302936637,1.47258967007069e-05
